시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,입장 가능 나이,가족 화장실 보유 여부,수유실 보유 여부,유모차 대여 여부,키즈존 여부,최종작성일
대구가톨릭대학교유스티노캠퍼스성김대건기념관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,중구,남산동,,219 번지,명륜로12길,47 번,35.86133616,128.587515,41969,대구광역시 중구 명륜로12길 47,대구광역시 중구 남산동 219,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구간송미술관(2023년7월예정),,전시/공연,전시/기념관,미술관,대구광역시,수성구,삼덕동,,360-6 번지,,,35.82823364,128.6760595,42250,,대구광역시 수성구 삼덕동 360-6,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,문의,N,N,N,N,2022-10-31
대구건축박람회,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1676 번지,엑스코로,10 번,35.90706959,128.6130739,41515,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676,02-588-2497,http://www.dahos.or.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,Y,Y,Y,Y,2022-10-31
대구공연예술연습공간,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,남구,대명동,,2274-5 번지,명덕로,42 번,35.85928658,128.5755587,42400,대구광역시 남구 명덕로 42,대구광역시 남구 대명동 2274-5,053-430-1271,https://dgpf.or.kr/main.php,정보없음,정보없음,정보없음,"일요일, 공휴일 ",10:00~22:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구광역시동부여성문화회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,동구,신암동,,664-21 번지,신암북로11길,54-2 번,35.8904138,128.6223306,41192,대구광역시 동구 신암북로11길 54-2,대구광역시 동구 신암동 664-21,053-605-3000,http://www.daegu.go.kr/Dwcc/,정보없음,정보없음,정보없음,"주말, 공휴일","상담문의 09:00~18:00, 수영장 06:00~17:00",Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구광역시문화원연합회,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,달서구,성당동,,187 번지,공원순환로,201 번,35.84476741,128.5581018,42672,대구광역시 달서구 공원순환로 201,대구광역시 달서구 성당동 187,053-744-7950,http://www.dgccf.or.kr/,정보없음,정보없음,정보없음,월요일,10:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구교육대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,남구,대명동,,1797-5 번지,중앙대로,219 번,35.85143158,128.5877392,42411,대구광역시 남구 중앙대로 219,대구광역시 남구 대명동 1797-5,053-620-1471,정보없음,정보없음,정보없음,정보없음,"개교기념일(3/26), 주말, 공휴일 ",10:00~17:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구교육박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1285 번지,대동로1길,40 번,35.8973687,128.6118383,41535,대구광역시 북구 대동로1길 40,대구광역시 북구 산격동 1285,053-231-1790,http://www.dge.go.kr/dme/index.do,정보없음,정보없음,정보없음,"월요일, 1월 1일, 명절 당일",09:30~18:00,Y,N,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구근대역사관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,중구,포정동,,33 번지,경상감영길,67 번,35.87179779,128.59116,41918,대구광역시 중구 경상감영길 67,대구광역시 중구 포정동 33,053-606-6430,http://artcenter.daegu.go.kr/dmhm/,정보없음,https://www.facebook.com/daegudmhm/,정보없음,월요일,"[4~10월] 10:00~19:00, [11~3월] 10:00~18:00",N,N,N,연령제한없음,N,Y,N,Y,2022-10-31
대구메트로아트센터,,전시/공연,영화/연극/공연,N,대구광역시,수성구,연호동,,648 번지,야구전설로,1 번,35.84112892,128.6812364,42250,대구광역시 수성구 야구전설로 1,대구광역시 수성구 연호동 648,053-795-0303,정보없음,정보없음,https://www.facebook.com/daegumetroartcenter,정보없음,공연별 상이,공연별 상이,N,Y,Y,공연별 상이,N,N,N,Y,2022-10-31
대구문화예술회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,달서구,성당동,,187 번지,공원순환로,201 번,35.84476741,128.5581018,42672,대구광역시 달서구 공원순환로 201,대구광역시 달서구 성당동 187,053-606-6114,https://artcenter.daegu.go.kr/,정보없음,정보없음,정보없음,월요일,10:00~18:00,Y,N,N,최소 입장가능연령 만 36개월 이상,N,N,Y,Y,2022-10-31
대구미술관,,전시/공연,전시/기념관,대형미술관,대구광역시,수성구,삼덕동,,374 번지,미술관로,40 번,35.82702862,128.6743408,42250,대구광역시 수성구 미술관로 40,대구광역시 수성구 삼덕동 374,053-803-7900,https://artmuseum.daegu.go.kr/main/index.html,https://blog.naver.com/damuseum,https://www.facebook.com/damuseum,https://www.instagram.com/daeguartmuseum,월요일(공휴일인 경우 다음 평일),"[4~10월] 10:00~19:00, [11~3월] 10:00~18:00",N,Y,Y,연령제한없음,N,Y,Y,Y,2022-10-31
대구방짜유기박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,동구,도학동,,399 번지,도장길,29 번,35.96545542,128.701364,41007,대구광역시 동구 도장길 29,대구광역시 동구 도학동 399,053-606-6171,https://artcenter.daegu.go.kr/bangjja/content.html?md=0156,정보없음,정보없음,정보없음,"1월 1일, 명절 당일, 월요일(공휴일인 경우 다음 평일)",09:00~18:00,Y,N,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구백화점프라자점아트홀,,전시/공연,영화/연극/공연,N,대구광역시,중구,대봉동,,214 번지,명덕로,333 번,35.85571704,128.6063616,41953,대구광역시 중구 명덕로 333,대구광역시 중구 대봉동 214,053-420-8088,http://www.debec.co.kr/contents/culture/prime/primeIntroduce.do,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구보건대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,태전동,,산6-6 번지,영송로,15 번,35.92684451,128.5440277,41453,대구광역시 북구 영송로 15,대구광역시 북구 태전동 산 6-6,0507-1315-1857,https://museum.dhc.ac.kr/main,정보없음,정보없음,"https://www.instagram.com/indangmuseum/, https://www.facebook.com/DHCIndangMuseum/","주말, 공휴일",10:00~17:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구보건대학교보현박물관,,전시/공연,전시/기념관,대형전시/박물관,경상남도,밀양시,단장면,고례리,1604 번지,고례로,766-21 번,35.48683532,128.9276763,50418,경상남도 밀양시 단장면 고례로 766-21,경상남도 밀양시 단장면 고례리 1604,055-356-1122,https://museum.dhc.ac.kr/main,정보없음,정보없음,정보없음,전시별 상이,10:00~17:00,Y,N,N,연령제한없음,N,N,N,N,2022-10-31
대구생활문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,수성구,만촌동,,1410 번지,만촌로,153 번,35.87230929,128.6401669,42037,대구광역시 수성구 만촌로 153,대구광역시 수성구 만촌동 1410,053-430-5616,https://www.dgfc.or.kr/page/45,정보없음,정보없음,정보없음,월요일,10:00~18:00,N,N,N,연령제한없음,N,N,N,N,2022-10-31
대구섬유박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,동구,봉무동,,1560-1 번지,팔공로,227 번,35.9190995,128.640295,41028,대구광역시 동구 팔공로 227,대구광역시 동구 봉무동 1560-1,053-980-1004,http://www.dtmuseum.org,정보없음,정보없음,정보없음,"월요일, 1월 1일, 명절 당일",09:00~18:00,Y,N,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구수목원,,문화관광/명소,관광지,휴양림/수목원,대구광역시,달서구,대곡동,,284 번지,화암로,342 번,35.80069896,128.5200044,42829,대구광역시 달서구 화암로 342,대구광역시 달서구 대곡동 284,053-803-7270,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구수목원산림문화전시관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,달서구,대곡동,,284 번지,화암로,342 번,35.80069896,128.5200044,42829,대구광역시 달서구 화암로 342,대구광역시 달서구 대곡동 284,053-803-7270,https://www.daegu.go.kr/cts/index.do?menu_id=00000958&servletPath=%2Fcts,정보없음,정보없음,정보없음,"월요일, 명절","[3~10월] 10:00~17:00, [11~2월] 10:00~16:30",Y,N,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구수성문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,수성구,두산동,,30 번지,들안로16길,78 번,35.83920411,128.6181599,42169,대구광역시 수성구 들안로16길 78,대구광역시 수성구 두산동 30,053-794-1334,http://www.suseong.or.kr/,정보없음,정보없음,정보없음,"주말, 공휴일, 대체공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구스타디움스포츠기념관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,수성구,대흥동,,504 번지,유니버시아드로,180 번,35.82976814,128.6901638,42250,대구광역시 수성구 유니버시아드로 180,대구광역시 수성구 대흥동 504,053-754-2011,http://www.dgsports.or.kr/main/,정보없음,정보없음,정보없음,"월요일, 1월 1일, 명절",10:00~17:30,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구시립교향악단,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,중구,성내2동,,1-1 번지,태평로,141 번,35.876059,128.5936972,41902,대구광역시 중구 태평로 141,대구광역시 중구 태평로2가 1-1,053-250-1400,https://concerthouse.daegu.go.kr/,정보없음,정보없음,정보없음,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
대구신세계문화홀,,전시/공연,영화/연극/공연,N,대구광역시,동구,신천동,,1506 번지,동부로,149 번,35.87794067,128.62919,41229,대구광역시 동구 동부로 149,대구광역시 동구 신천동 1506,053-420-8088,http://www.debec.co.kr/contents/culture/prime/primeIntroduce.do,정보없음,정보없음,정보없음,연중무휴,11:00~20:30,Y,Y,Y,연령제한없음,Y,Y,Y,Y,2022-10-31
대구아쿠아리움,,문화관광/명소,관광지,아쿠아리움/대형수족관,대구광역시,동구,신천동,,1506 번지,동부로,149 번,35.87794067,128.62919,41229,대구광역시 동구 동부로 149,대구광역시 동구 신천동 1506,053-247-8899,http://daeguaqua.com/,정보없음,정보없음,정보없음,백화점 휴무일,"월-목 10:30~20:00, 금-일 10:30~20:30",Y,Y,Y,연령제한없음,Y,Y,Y,Y,2022-10-31
대구아트파크,,전시/공연,영화/연극/공연,N,대구광역시,남구,이천동,,161-16 번지,이천로32길,36 번,35.85486642,128.6002937,42431,대구광역시 남구 이천로32길 36,대구광역시 남구 이천동 161-16,053-475-7701,http://www.dgartpark.com,정보없음,정보없음,정보없음,"공연, 전시별 상이","공연, 전시별 상이",N,N,Y,"공연, 전시별 상이",N,N,N,Y,2022-10-31
대구아트페어,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1676 번지,엑스코로,10 번,35.90706959,128.6130739,41515,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676,053-421-4774,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,Y,Y,Y,Y,2022-10-31
대구앵무새농장,,문화관광/명소,관광지,N,경상북도,경산시,용성면,곡란리,97-2 번지,운용로,631-38 번,35.75620541,128.8790204,38569,경상북도 경산시 용성면 운용로 631-38,경상북도 경산시 용성면 곡란리 97-2,,정보없음,https://blog.naver.com/anziman,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구어린이회관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,수성구,황금동,,626 번지,동대구로,176 번,35.84663547,128.6277931,42110,대구광역시 수성구 동대구광역시로 176,대구광역시 수성구 황금동 626,,https://www.daegu.go.kr/woman/index.do?menu_id=00050228&servletPath=%2Fwoman,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,N,Y,Y,Y,2022-10-31
대구오페라하우스,,전시/공연,영화/연극/공연,대형예술센터,대구광역시,북구,칠성동,,727 번지,호암로,15 번,35.88346535,128.5922332,41585,대구광역시 북구 호암로 15,대구광역시 북구 칠성동2가 727,053-666-6000,http://www.daeguoperahouse.org/,정보없음,정보없음,https://www.instagram.com/daeguoperahouse/,정보없음,정보없음,N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
대구은행금융박물관,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,수성구,수성2.3가동,,118 번지,달구벌대로,2310 번,35.85931427,128.6149469,42123,대구광역시 수성구 달구벌대로 2310,대구광역시 수성구 수성동2가 118,053-740-2061,museum.dgb.co.kr,정보없음,정보없음,정보없음,주말,10:00 - 17:30,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구음식관광박람회,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1676 번지,엑스코로,10 번,35.90706959,128.6130739,41515,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676,053-601-5055,https://www.daegufood.kr/main.asp,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,Y,Y,Y,Y,2022-10-31
대구전람,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1676 번지,엑스코로,10 번,35.90706959,128.6130739,41515,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676,053-601-5000,https://www.exco.co.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
대구전통문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,동구,지묘동,,526 번지,신숭겸길,17 번,35.94210666,128.6409736,41002,대구광역시 동구 신숭겸길 17,대구광역시 동구 지묘동 526,070-8888-9901,http://www.dtc.or.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
대구콘서트하우스,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,중구,성내2동,,1-1 번지,태평로,141 번,35.876059,128.5936972,41902,대구광역시 중구 태평로 141,대구광역시 중구 태평로2가 1-1,053-250-1400,https://concerthouse.daegu.go.kr/,https://blog.naver.com/citizen77_,정보없음,정보없음,월요일,10:00~20:00,Y,N,N,공연별 상이,N,N,N,Y,2022-10-31
대구클럽헤비,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,남구,대명동,,1896-5 번지,현충로,244 번,35.8541162,128.5833892,42412,대구광역시 남구 현충로 244,대구광역시 남구 대명동 1896-5,,정보없음,정보없음,정보없음,정보없음,"월-목, 공연없을시",금-일 19:00~21:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대구패션페어,,전시/공연,전시/기념관,기타전시/박물관,대구광역시,북구,산격동,,1676 번지,엑스코로,10 번,35.90706959,128.6130739,41515,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676,053-721-7431,http://www.daegufashionfair.com/front/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,Y,Y,Y,Y,2022-10-31
대구학생문화센터소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,달서구,용산동,,230-6 번지,용산로,181 번,35.85302474,128.5295209,42635,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,053-231-1288,http://www.dge.go.kr/dccs/main.do,정보없음,정보없음,정보없음,"매달 2, 4번째 월요일","09:00~18:00, 09:00-17:30",Y,N,N,어린이 공연 제외 초등학교 이상 취학 아동부터 입장 가능,N,N,N,Y,2022-10-31
대구한의대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,경상북도,경산시,유곡동,,290-1 번지,한의대로,1 번,35.79401913,128.7773494,38610,경상북도 경산시 한의대로 1,경상북도 경산시 유곡동 290-1,053-819-1146,http://museum.dhu.ac.kr/,정보없음,정보없음,정보없음,"주말, 공휴일",09:00~17:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대국산성,,문화관광/명소,명승지,성/성터,경상남도,남해군,설천면,진목리,산184 번지,,,34.90061043,127.8975929,52402,,경상남도 남해군 설천면 진목리 산 184,055-860-8635,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=2333800190000,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대굴령자동차마을,,문화관광/명소,관광지,N,강원도,강릉시,성산면,보광리,403 번지,보현길,56-13 번,37.73965673,128.8030525,25442,강원도 강릉시 성산면 보현길 56-13,강원도 강릉시 성산면 보광리 403,033-648-0406,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대구MBC교향악단,,전시/공연,영화/연극/공연,공연/연극/문화센터,경상북도,경산시,중산동,,566 번지,경산로,259 번,35.83089241,128.7230712,38661,경상북도 경산시 경산로 259,경상북도 경산시 중산동 566,070-7518-8476,http://www.mbcsym.com/,정보없음,https://www.facebook.com/symphonymbc,정보없음,정보없음,정보없음,Y,Y,N,연령제한없음,N,N,N,Y,2022-10-31
대나무골테마공원,,문화관광/명소,관광지,테마공원/대형놀이공원,전라남도,담양군,금성면,봉서리,산51-1 번지,비내동길,148 번,35.33668602,127.0486795,57353,전라남도 담양군 금성면 비내동길 148,전라남도 담양군 금성면 봉서리 산 51-1,061-383-9291,정보없음,정보없음,정보없음,정보없음,연중무휴,09:00~18:00,Y,N,Y,연령제한없음,N,N,N,N,2022-10-31
대덕문예회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,대전광역시,대덕구,읍내동,,324-5 번지,대전로,1348 번,36.37411504,127.420651,34360,대전광역시 대덕구 대전광역시로 1348,대전광역시 대덕구 읍내동 324-5,042-627-7517,https://cafe.daum.net/culturemeca,정보없음,https://www.facebook.com/ddcc7517/,정보없음,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대덕문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,대전광역시,대덕구,읍내동,,324-5 번지,대전로,1348 번,36.37411504,127.420651,34360,대전광역시 대덕구 대전광역시로 1348,대전광역시 대덕구 읍내동 324-5,042-627-7517,http://www.ddcc.or.kr/,정보없음,정보없음,정보없음,"주말, 공휴일",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대덕문화전당,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,남구,대명동,,산201-4 번지,앞산순환로,478 번,35.83129333,128.5769704,42501,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산 201-4,053-664-3131,https://nam.daegu.kr/culturalcenter/index.do,정보없음,정보없음,정보없음,"공휴일, 월요일",공연별 상이,Y,N,Y,공연별 상이,Y,N,N,Y,2022-10-31
대덕문화전당창공홀,,전시/공연,영화/연극/공연,N,대구광역시,남구,대명동,,1803-31 번지,중앙대로45길,53 번,35.85496864,128.5893088,42410,대구광역시 남구 중앙대로45길 53,대구광역시 남구 대명동 1803-31,053-664-3131,https://nam.daegu.kr/culturalcenter/index.do,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,Y,N,N,Y,2022-10-31
대덕산성,,문화관광/명소,명승지,성/성터,대구광역시,남구,대명동,,산224 번지,,,35.82105755,128.5728351,42501,,대구광역시 남구 대명동 산 224,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대동경운기월성전시관,,전시/공연,전시/기념관,기타전시/박물관,경상북도,경주시,황오동,,111-3 번지,원화로,228-5 번,35.84115892,129.2181939,38160,경상북도 경주시 원화로 228-5,경상북도 경주시 황오동 111-3,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대둔산얼음계곡유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,전라북도,완주군,운주면,산북리,429-1 번지,,,36.10946773,127.3378902,55300,,전라북도 완주군 운주면 산북리 429-1,,정보없음,https://blog.naver.com/msk3871,정보없음,https://www.instagram.com/eoleumgol_valley/,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대둔산자연휴양림,,문화관광/명소,관광지,휴양림/수목원,충청남도,금산군,진산면,묵산리,산87-13 번지,대둔산로,6 번,36.12303387,127.3441493,32704,충청남도 금산군 진산면 대둔산로 6,충청남도 금산군 진산면 묵산리 산 87-13,041-752-4138,http://www.ijinsan.co.kr/,정보없음,정보없음,정보없음,연중무휴,"[숙박시설] 입실 14:00, 퇴실 11:00",Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대륜동문화의집,,전시/공연,영화/연극/공연,공연/연극/문화센터,제주특별자치도,서귀포시,법환동,,873-2 번지,일주동로,9185 번,33.24818748,126.5111843,63572,제주특별자치도 서귀포시 일주동로 9185,제주특별자치도 서귀포시 법환동 873-2,064-760-4751,http://www.jeju.go.kr/jumin/present/seogwipo/seogwipo14/greet.htm,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대림미술관,,전시/공연,전시/기념관,미술관,서울특별시,종로구,통의동,,35-1 번지,자하문로4길,21 번,37.57750388,126.9733637,03044,서울특별시 종로구 자하문로4길 21,서울특별시 종로구 통의동 35-1,02-720-0667,https://daelimmuseum.org/,정보없음,정보없음,정보없음,전시기간 외,"평일,일요일 11:00~20:00, 토요일 11:00~21:00 (전시기간중)",N,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대림산성,,문화관광/명소,명승지,성/성터,충청북도,충주시,살미면,향산리,410 번지,창골길,84 번,36.93312227,127.9389499,27493,충청북도 충주시 살미면 창골길 84,충청북도 충주시 살미면 향산리 410,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대모산공원서울유아숲체험현장,,문화관광/명소,관광지,N,서울특별시,강남구,일원동,,436 번지,,,37.4799752,127.0756265,06359,,서울특별시 강남구 일원동 436,02-3423-6283,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대뫼녹두회관,,전시/공연,전시/기념관,기타전시/박물관,전라북도,정읍시,고부면,신중리,618 번지,덕신강길,256-3 번,35.60120704,126.7498543,56152,전라북도 정읍시 고부면 덕신강길 256-3,전라북도 정읍시 고부면 신중리 618,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대백레오문화홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,중구,대봉동,,214 번지,명덕로,333 번,35.85571704,128.6063616,41953,대구광역시 중구 명덕로 333,대구광역시 중구 대봉동 214,053-420-8050,정보없음,https://blog.naver.com/reo4260776,정보없음,정보없음,월요일,"평일 10:30~15:00, 주말 10:30~16:30",Y,Y,Y,연령제한없음,N,Y,Y,Y,2022-10-31
대봉산자연휴양림,,문화관광/명소,관광지,휴양림/수목원,경상남도,함양군,병곡면,광평리,산1 번지,병곡지곡로,333 번,35.57794015,127.7150289,50028,경상남도 함양군 병곡면 병곡지곡로 333,경상남도 함양군 병곡면 광평리 산 1,055-964-1090,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030046,정보없음,정보없음,정보없음,월요일,00:00~24:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대봉스카이랜드,,문화관광/명소,관광지,유명관광지,경상남도,함양군,병곡면,광평리,산18 번지,,,35.58217952,127.7122358,50028,,경상남도 함양군 병곡면 광평리 산 18,055-963-2025,정보없음,정보없음,정보없음,정보없음,"화요일, 매월 마지막주 화-수요일, 1월 1일, 명절, 긴급 보수시, 분기별 정기점검(4분기), 정기 안전점검일",09:30~16:30,Y,N,Y,연령제한없음,N,Y,N,Y,2022-10-31
대부해솔길3코스,,문화관광/명소,관광지,유명관광지,경기도,안산시 단원구,대부남동,,1183-3 번지,한사위길,60 번,37.22594096,126.5440307,15647,경기도 안산시 단원구 한사위길 60,경기도 안산시 단원구 대부남동 1183-3,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대불호텔전시관,,전시/공연,전시/기념관,기타전시/박물관,인천광역시,중구,신포동,,18 번지,신포로23번길,101 번,37.47355849,126.6199768,22314,인천광역시 중구 신포로23번길 101,인천광역시 중구 중앙동1가 18,032-766-2202,https://www.icjg.go.kr/tour/cttu0101a14,정보없음,정보없음,정보없음,월요일(공휴일인 경우 다음날),09:00~18:00,N,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대빈창해수욕장,,문화관광/명소,관광지,해수욕장,인천광역시,강화군,서도면,주문도리,산293-2 번지,,,37.64680435,126.2295538,23008,,인천광역시 강화군 서도면 주문도리 산 293-2,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대산미술관,,전시/공연,전시/기념관,미술관,경상남도,창원시 의창구,대산면,유등리,294-22 번지,유등로369번길,14-8 번,35.34513902,128.7440739,51122,경상남도 창원시 의창구 대산면 유등로369번길 14-8,경상남도 창원시 의창구 대산면 유등리 294-22,055-291-5237,http://www.daesanart.com,정보없음,정보없음,정보없음,월요일,10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대성동고분박물관,,전시/공연,전시/기념관,대형전시/박물관,경상남도,김해시,대성동,,434 번지,가야의길,126 번,35.23606102,128.8730821,50917,경상남도 김해시 가야의길 126,경상남도 김해시 대성동 434,055-350-0401,https://www.gimhae.go.kr/ds.web,정보없음,정보없음,정보없음,"1월 1일, 명절, 월요일(공휴일인 경우 익일)",09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
대성리국민관광지,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,가평군,청평면,대성리,395-3 번지,대성강변길,14 번,37.681431,127.3795214,12457,경기도 가평군 청평면 대성강변길 14,경기도 가평군 청평면 대성리 395-3,031-584-0088,http://www.hanpens.net/tour/index.html?tr_no=434#rest,정보없음,정보없음,정보없음,연중무휴,정보없음,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
대성비디오,,전시/공연,영화/연극/공연,공연/연극/문화센터,충청북도,청주시 상당구,수동,,257-14 번지,대성로122번길,17-2 번,36.63646649,127.4933343,28517,충청북도 청주시 상당구 대성로122번길 17-2,충청북도 청주시 상당구 수동 257-14,,정보없음,정보없음,정보없음,정보없음,"주말, 공휴일",11:00~17:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대성산산림욕장,,문화관광/명소,관광지,휴양림/수목원,충청북도,단양군,단양읍,별곡리,산13-1 번지,,,36.9853905,128.3628687,27010,,충청북도 단양군 단양읍 별곡리 산 13-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
대성엔디가구전시장,,전시/공연,전시/기념관,기타전시/박물관,경기도,광주시,탄벌동,,222-2 번지,이배재로,59 번,37.42241667,127.2445979,12747,경기도 광주시 이배재로 59,경기도 광주시 탄벌동 222-2,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
